,Fecha,Texto
64,2022-06-01T22:23:08.000Z,RT @EsterLzaro1: Como podéis suponer el precio al que vendemos la energía que nos sobra es mucho menor que al que la compramos. Hasta ahí t…
65,2022-06-01T22:22:39.000Z,"RT @Oceana_Peru: Con esta última multa @Repsol   acumula un monto total de 2,7 millones de soles  por haber incumplido 7 de las 16 medidas…"
66,2022-06-01T22:20:12.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
67,2022-06-01T22:20:11.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
68,2022-06-01T22:20:00.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
69,2022-06-01T22:19:56.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
70,2022-06-01T22:19:21.000Z,"RT @Oceana_Peru: Con esta última multa @Repsol   acumula un monto total de 2,7 millones de soles  por haber incumplido 7 de las 16 medidas…"
71,2022-06-01T22:19:17.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
72,2022-06-01T22:12:49.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
73,2022-06-01T22:12:30.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
74,2022-06-01T22:10:02.000Z,"RT @WaykaPeru: @Repsol En total, @repsol_peru cuenta con una deuda de más de 2 millones por incumplir 7 de las 16 medidas administrativas d…"
75,2022-06-01T22:09:18.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
76,2022-06-01T22:09:03.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
77,2022-06-01T22:07:18.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
78,2022-06-01T22:04:26.000Z,"RT @WaykaPeru: @Repsol En total, @repsol_peru cuenta con una deuda de más de 2 millones por incumplir 7 de las 16 medidas administrativas d…"
79,2022-06-01T22:04:21.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
80,2022-06-01T22:02:59.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
81,2022-06-01T22:01:22.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
82,2022-06-01T21:59:40.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
83,2022-06-01T21:59:27.000Z,"RT @WaykaPeru: @Repsol En total, @repsol_peru cuenta con una deuda de más de 2 millones por incumplir 7 de las 16 medidas administrativas d…"
84,2022-06-01T21:59:16.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
85,2022-06-01T21:57:36.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
86,2022-06-01T21:57:07.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
87,2022-06-01T21:54:49.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
88,2022-06-01T21:54:19.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
89,2022-06-01T21:52:10.000Z,"mas de 4 meses del derrame. @Repsol sigue sin cumplir sus obligaciones.
@Pnuma_Official @greenpeace_esp @WWF_LAC @TNCLatinAmerica @EarthAction @uicn_conserva https://t.co/5U0eLrvgzw"
90,2022-06-01T21:51:57.000Z,"RT @WaykaPeru: @Repsol En total, @repsol_peru cuenta con una deuda de más de 2 millones por incumplir 7 de las 16 medidas administrativas d…"
91,2022-06-01T21:51:49.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
92,2022-06-01T21:47:50.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
93,2022-06-01T21:47:06.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
94,2022-06-01T21:44:07.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
95,2022-06-01T21:43:29.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
96,2022-06-01T21:43:29.000Z,"RT @WaykaPeru: #ATENCIÓN | El organismo de fiscalización ambiental impuso una multa por 100 UIT a Refinería #LaPampilla de @Repsol, tras in…"
97,2022-06-01T21:42:12.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
98,2022-06-01T21:40:02.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
99,2022-06-01T21:39:07.000Z,RT @martinhidalgo: Y ya son 7 -de las 16 medidas administrativas dictadas- incumplidas por @Repsol.
